公司,年月,TCRI,總分,CFO,CFO不一致,利息支出率,資產報酬%,營業利益%,借款息%,平均收款天增減,平均售貨天增減,借款依存度%,營收,TSE產業別,c_0,c_1,c_2,c_3,c_4
1503 士電,2008/12/31,4.0,551.0,-8.47,1,0.71,3.38,5.48,2.41,-1.0,23.0,49.0,176.0,5,0.0,0.0,0.0,0.0,0.0
1506 正道,2008/12/31,9.0,83.0,-0.18,0,4.7,-1.91,-0.35,5.92,-12.0,15.0,94.0,14.0,5,0.0,0.0,0.0,0.0,0.0
1507 永大,2008/12/31,4.0,630.0,3.4,1,0.1,6.43,8.92,3.0,-10.0,-9.0,3.0,120.0,5,0.0,0.0,0.0,0.0,0.0
1513 中興電,2008/12/31,5.0,519.0,10.22,0,0.53,4.43,4.3,3.36,11.0,-11.0,28.0,115.0,5,0.0,0.0,0.0,0.0,0.0
1515 力山,2008/12/31,7.0,202.0,1.44,0,2.34,-7.8,-10.46,3.86,-10.0,3.0,127.0,39.0,5,0.0,0.0,0.0,0.0,0.0
1516 川飛,2008/12/31,9.0,320.0,-2.48,0,0.31,-71.44,-19.15,7.58,-23.0,-65.0,10.0,5.0,20,0.0,0.0,0.0,0.0,0.0
1521 大億,2008/12/31,5.0,394.0,1.2,0,0.35,2.69,-0.14,3.18,-2.0,13.0,29.0,29.0,5,0.0,0.0,0.0,0.0,0.0
1525 江申,2008/12/31,6.0,428.0,1.93,0,0.0,4.39,-4.24,0.0,-1.0,8.0,0.0,9.0,5,4.0,3.373773056416338e-22,2.6763595679935026e-13,1.0,2.9373700539640864e-20
1529 樂士,2008/12/31,0.0,88.0,0.02,0,3.96,-17.16,-69.32,5.18,71.0,195.0,29.0,5.0,5,0.0,0.0,0.0,0.0,0.0
1532 勤美,2008/12/31,7.0,443.0,1.25,1,3.1,4.77,10.38,3.2,-7.0,-6.0,136.0,181.0,5,27.89908218383789,1.1629703044891355,4.526400089263916,2.374752057221485e-07,3.4115474224090576
1535 中宇,2008/12/31,4.0,702.0,0.7,0,0.1,13.16,5.39,1.94,-11.0,12.0,15.0,73.0,5,0.0,0.0,0.0,0.0,0.0
1538 正峰新,2008/12/31,7.0,354.0,0.36,0,1.34,-19.17,-10.42,6.41,9.0,-25.0,44.0,45.0,5,0.0,0.0,0.0,0.0,0.0
1539 巨庭,2008/12/31,7.0,223.0,-0.27,0,1.1,-1.41,0.55,2.89,20.0,42.0,77.0,16.0,5,0.0,0.0,0.0,0.0,0.0
1558 伸興,2008/12/31,4.0,565.0,1.52,0,0.15,8.64,6.11,4.19,21.0,-8.0,19.0,26.0,5,5.000000953674316,3.973159437009597e-06,1.9998410940170288,1.0022680498877892e-06,0.0001528895809315145
1560 中砂,2008/12/31,5.0,458.0,8.32,0,0.89,3.64,7.89,2.58,1.0,-1.0,29.0,33.0,5,0.0,0.0,0.0,0.0,0.0
1583 程泰,2008/12/31,6.0,550.0,-1.11,1,0.76,10.81,13.5,2.99,-6.0,41.0,57.0,61.0,5,42.95797729492188,7.630012987647206e-06,4.009554862976073,1.2865694998254185e-07,2.032458782196045
1611 中電,2008/12/31,5.0,483.0,6.02,0,0.03,1.42,3.45,13.38,16.0,11.0,0.0,49.0,6,0.0,0.0,0.0,0.0,0.0
1612 宏泰,2008/12/31,4.0,517.0,0.04,0,0.05,3.31,2.69,3.3,-2.0,-1.0,1.0,69.0,6,12.0,4.038530931893546e-08,0.9999996423721312,4.309301956724424e-17,2.835201371453877e-07
1614 三洋電,2008/12/31,4.0,503.0,5.59,0,0.05,3.26,1.89,7.0,-3.0,8.0,0.0,57.0,6,0.0,0.0,0.0,0.0,0.0
1618 合機,2008/12/31,6.0,332.0,7.41,0,1.45,-3.12,-0.76,3.72,7.0,-2.0,29.0,33.0,6,4.053067207336427,2.1316927245607078e-07,0.8449305295944214,3.5977335693937456e-11,0.1020018458366394
1701 中化,2008/12/31,6.0,344.0,4.14,0,1.23,1.92,7.04,3.67,1.0,23.0,35.0,39.0,22,0.0,0.0,0.0,0.0,0.0
1707 葡萄王,2008/12/31,5.0,709.0,5.02,0,0.54,13.67,16.74,5.11,-12.0,-12.0,15.0,21.0,22,0.0,0.0,0.0,0.0,0.0
1718 中纖,2008/12/31,7.0,621.0,37.49,0,1.36,0.44,2.45,2.54,-3.0,-10.0,59.0,305.0,21,0.0,0.0,0.0,0.0,0.0
1721 三晃,2008/12/31,8.0,197.0,-0.71,0,1.75,-3.79,-2.62,3.78,-9.0,1.0,104.0,17.0,21,0.0,0.0,0.0,0.0,0.0
1723 中碳,2008/12/31,3.0,872.0,15.23,0,0.08,26.87,19.01,3.27,-5.0,-3.0,0.0,86.0,21,0.0,0.0,0.0,0.0,0.0
1724 台硝,2008/12/31,5.0,367.0,-0.12,0,0.35,1.19,0.5,2.37,-10.0,13.0,25.0,19.0,21,0.0,0.0,0.0,0.0,0.0
1726 永記,2008/12/31,3.0,609.0,8.95,0,0.1,7.36,9.46,2.67,-4.0,9.0,3.0,72.0,21,0.0,0.0,0.0,0.0,0.0
1732 毛寶,2008/12/31,5.0,349.0,0.05,0,0.0,0.99,0.31,0.0,-4.0,1.0,0.0,7.0,21,0.0,0.0,0.0,0.0,0.0
1733 五鼎,2008/12/31,4.0,620.0,2.87,0,0.0,18.59,30.26,0.0,4.0,1.0,0.0,12.0,22,0.0,0.0,0.0,0.0,0.0
1762 中化生,2008/12/31,8.0,318.0,0.75,0,4.58,6.86,16.36,3.83,12.0,-36.0,118.0,9.0,22,0.0,0.0,0.0,0.0,0.0
1786 科妍,2008/12/31,9.0,36.0,-0.28,0,64.59,-27.53,-959.99,4.81,15.0,-210.0,58.0,0.0,22,0.0,0.0,0.0,0.0,0.0
1805 寶徠,2008/12/31,0.0,182.0,-0.52,0,3.77,-17.17,-26.86,5.29,0.0,-6.0,74.0,5.0,14,7.0,1.0,8.772078342557445e-17,9.245552334867143e-30,3.405792715480668e-18
1902 台紙,2008/12/31,6.0,382.0,-4.94,1,1.36,1.63,1.78,3.51,7.0,29.0,46.0,57.0,9,0.0,0.0,0.0,0.0,0.0
1903 士紙,2008/12/31,6.0,237.0,4.03,0,1.84,-0.58,-3.61,3.07,-1.0,108.0,21.0,23.0,9,0.0,0.0,0.0,0.0,0.0
1904 正隆,2008/12/31,4.0,535.0,44.64,0,2.8,1.97,4.28,5.54,2.0,-3.0,89.0,342.0,9,0.0,0.0,0.0,0.0,0.0
1905 華紙,2008/12/31,4.0,525.0,1.58,0,0.69,2.06,5.75,4.96,-2.0,31.0,20.0,83.0,9,0.0,0.0,0.0,0.0,0.0
1907 永豐餘,2008/12/31,4.0,400.0,-4.06,0,2.74,-0.49,-0.37,4.17,1.0,6.0,156.0,456.0,9,0.0,0.0,0.0,0.0,0.0
2002 中鋼,2008/12/31,2.0,771.0,214.49,1,0.59,7.45,18.03,2.26,-3.0,-8.0,58.0,3853.0,10,0.0,0.0,0.0,0.0,0.0
2008 高興昌,2008/12/31,9.0,74.0,6.02,0,2.7,3.29,6.02,4.55,-6.0,-8.0,300.0,114.0,10,0.0,0.0,0.0,0.0,0.0
2013 中鋼構,2008/12/31,6.0,423.0,1.49,0,0.57,2.76,0.68,2.66,-5.0,-27.0,132.0,198.0,10,0.0,0.0,0.0,0.0,0.0
2020 美亞,2008/12/31,7.0,171.0,2.46,0,2.94,-0.93,3.73,3.86,9.0,48.0,175.0,91.0,10,0.0,0.0,0.0,0.0,0.0
2025 千興,2008/12/31,7.0,347.0,-0.2,0,0.54,-13.74,-5.85,3.89,-1.0,5.0,39.0,73.0,10,0.0,0.0,0.0,0.0,0.0
2027 大成鋼,2008/12/31,7.0,223.0,-39.44,0,1.92,-9.44,3.82,3.96,-4.0,-27.0,175.0,332.0,10,0.0,0.0,0.0,0.0,0.0
2028 威致,2008/12/31,0.0,148.0,23.33,0,1.08,-6.32,-0.01,4.52,-20.0,-31.0,207.0,150.0,10,0.0,0.0,0.0,0.0,0.0
2034 允強,2008/12/31,5.0,595.0,25.84,0,0.34,1.28,1.82,2.99,-5.0,-12.0,30.0,245.0,10,0.0,0.0,0.0,0.0,0.0
2049 上銀,2008/12/31,6.0,534.0,8.63,0,2.0,9.22,17.39,2.92,-8.0,5.0,134.0,64.0,5,0.0,0.0,0.0,0.0,0.0
2059 川湖,2008/12/31,4.0,756.0,10.28,0,1.0,20.92,34.4,2.85,-9.0,-4.0,34.0,26.0,28,0.0,0.0,0.0,0.0,0.0
2062 橋椿,2008/12/31,5.0,567.0,6.96,0,0.52,6.06,6.71,3.63,14.0,-24.0,20.0,62.0,20,0.0,0.0,0.0,0.0,0.0
2103 台橡,2008/12/31,4.0,930.0,36.23,0,1.0,15.3,12.77,4.74,-1.0,-10.0,47.0,310.0,11,0.0,0.0,0.0,0.0,0.0
2104 國際中橡,2008/12/31,4.0,626.0,-9.4,1,1.87,3.14,7.26,4.94,-14.0,3.0,81.0,248.0,11,0.0,0.0,0.0,0.0,0.0
2105 正新,2008/12/31,3.0,654.0,57.83,1,1.91,6.49,8.61,4.11,-2.0,4.0,125.0,737.0,11,0.0,0.0,0.0,0.0,0.0
2204 中華,2008/12/31,4.0,629.0,0.63,0,0.55,-0.87,-3.99,2.11,-16.0,3.0,19.0,289.0,12,0.0,0.0,0.0,0.0,0.0
2206 三陽工業,2008/12/31,6.0,562.0,4.83,0,1.94,1.41,0.22,5.16,1.0,8.0,70.0,330.0,12,0.0,0.0,0.0,0.0,0.0
2301 光寶科,2008/12/31,3.0,700.0,261.03,0,0.52,3.6,2.72,4.6,-1.0,1.0,38.0,2307.0,25,0.0,0.0,0.0,0.0,0.0
2308 台達電,2008/12/31,1.0,861.0,160.78,0,0.15,10.63,7.65,3.64,-4.0,-2.0,10.0,1426.0,28,0.0,0.0,0.0,0.0,0.0
2314 台揚,2008/12/31,4.0,588.0,6.71,0,0.79,5.12,5.12,4.3,5.0,-17.0,26.0,80.0,27,0.0,0.0,0.0,0.0,0.0
2316 楠梓電,2008/12/31,5.0,488.0,13.44,0,1.19,0.53,0.15,3.74,7.0,-10.0,46.0,107.0,28,28.857868194580078,1.079126559488941e-05,3.993868112564087,3.0,1.148253083229065
2323 中環,2008/12/31,6.0,448.0,45.29,0,4.25,-5.39,-18.06,4.11,-2.0,15.0,59.0,253.0,26,0.0,0.0,0.0,0.0,0.0
2324 仁寶,2008/12/31,2.0,790.0,138.79,1,0.1,6.52,3.62,2.2,3.0,3.0,18.0,4787.0,25,0.0,0.0,0.0,0.0,0.0
2330 台積電,2008/12/31,1.0,1005.0,2121.14,0,0.11,18.14,33.31,2.27,-8.0,-8.0,3.0,3218.0,24,0.0,0.0,0.0,0.0,0.0
2331 精英,2008/12/31,5.0,643.0,22.8,0,0.23,1.14,0.1,4.19,0.0,-10.0,20.0,898.0,25,56.53782653808594,1.0054904222488403,23.1750602722168,1.0000795125961304,11.281543731689453
2332 友訊,2008/12/31,4.0,691.0,-5.31,1,0.05,4.52,5.48,3.48,-5.0,5.0,9.0,331.0,27,0.0,0.0,0.0,0.0,0.0
2337 旺宏,2008/12/31,4.0,857.0,88.63,0,0.41,11.01,17.88,3.18,-4.0,22.0,7.0,245.0,24,0.0,0.0,0.0,0.0,0.0
2338 光罩,2008/12/31,4.0,527.0,9.61,0,1.16,3.83,8.58,2.43,2.0,7.0,8.0,29.0,24,0.0,0.0,0.0,0.0,0.0
2340 光磊,2008/12/31,5.0,516.0,10.59,0,1.42,3.8,8.01,3.5,-7.0,1.0,53.0,71.0,26,0.0,0.0,0.0,0.0,0.0
2344 華邦電,2008/12/31,5.0,472.0,16.15,0,3.92,-8.54,-26.7,3.52,-17.0,0.0,80.0,256.0,24,79.72978973388672,0.9993595480918884,10.611191749572754,1.908625063551384e-10,2.659656524658203
2348 海悅,2008/12/31,9.0,-207.0,-0.59,0,4.06,-5.21,-7.09,3.86,32.0,0.0,297.0,7.0,20,0.0,0.0,0.0,0.0,0.0
2353 宏碁,2008/12/31,3.0,718.0,-51.66,1,0.24,4.12,3.04,8.38,0.0,1.0,16.0,5463.0,25,0.0,0.0,0.0,0.0,0.0
2358 廷鑫,2008/12/31,8.0,424.0,-1.03,0,0.01,2.32,0.87,0.0,5.0,2.0,0.0,18.0,20,1.5662750005722046,1.4532667513833532e-08,0.43372496962547297,5.6493972030286464e-15,6.100521421359417e-09
2371 大同,2008/12/31,6.0,426.0,208.03,0,2.81,-5.55,-7.77,4.38,4.0,-2.0,117.0,1872.0,5,0.0,0.0,0.0,0.0,0.0
2376 技嘉,2008/12/31,4.0,750.0,26.42,0,0.37,5.09,3.26,8.67,0.0,2.0,2.0,491.0,25,81.7905044555664,4.001776218414307,22.218292236328125,1.0000952482223509,2.989333391189575
2383 台光電,2008/12/31,7.0,396.0,-0.1,0,2.06,2.9,0.79,5.18,-4.0,-15.0,109.0,89.0,28,0.0,0.0,0.0,0.0,0.0
2388 威盛,2008/12/31,6.0,416.0,-32.12,0,1.44,-18.75,-26.45,3.79,2.0,7.0,54.0,83.0,24,0.0,0.0,0.0,0.0,0.0
2390 云辰,2008/12/31,7.0,378.0,-0.41,0,1.23,-1.16,-7.13,4.25,-3.0,2.0,12.0,13.0,31,0.0,0.0,0.0,0.0,0.0
2392 正崴,2008/12/31,4.0,692.0,28.46,0,0.82,5.13,4.35,3.88,-10.0,2.0,55.0,483.0,28,0.0,0.0,0.0,0.0,0.0
