公司,年月,TCRI,總分,規模,獲利,安全,效率,CFO,CFO不一致,利息支出率,資產報酬%,營業利益%,借款息%,平均收款天增減,平均售貨天增減,借款依存度%,營收
3008 大立光,2015/12/31,2,999,140,120,100,59,292.41,,0,33.28,51.48,0,1,2,0,559
2371 大同,2015/12/31,8,-137,140,-27,-22,57,9.67,,4.56,-4.28,-10.61,4.22,2,1,218,947
2027 大成鋼,2015/12/31,7,173,140,-1,6,-40,16.95,,1.28,-0.12,1.75,2.25,1,6,186,507
1210 大成,2015/12/31,4,624,140,12,74,87,31.11,,0.28,2.5,1.81,1.83,5,4,63,783
1321 大洋,2015/12/31,6,403,56,3,68,82,0.83,,0.96,0.26,2.63,1.53,-5,9,64,46
1232 大統益,2015/12/31,4,786,74,84,100,88,13.84,,0.01,17.5,5.72,1.76,3,16,3,178
3167 大量,2015/12/31,5,460,17,57,98,-40,3.34,,0.99,6.83,9.15,2.17,31,9,55,19
1521 大億,2015/12/31,4,670,37,82,95,63,4.82,,0.02,12.75,7.78,1.91,-3,-1,0,57
3702 大聯大,2015/12/31,4,551,140,30,40,62,-92.85,+,0.25,3.81,1.68,1.84,9,1,161,5155
6184 大豐電,2015/12/31,6,513,24,51,76,82,4.43,,3.01,3.37,18.03,1.79,-9,9,55,17
8473 山林水,2015/12/31,5,442,23,69,77,-40,2.93,,7.37,5.63,38.88,3.49,-97,0,58,16
2059 川湖,2015/12/31,3,816,53,119,100,53,22.36,,0,21.78,44.98,0,3,-4,0,45
5521 工信,2015/12/31,7,330,61,3,80,-40,-13.11,+,0.81,1.42,1.82,2.37,-10,0,53,71
1762 中化生,2015/12/31,7,329,13,34,80,-40,0.8,,0.72,2.94,10.14,1.57,11,-9,30,12
1535 中宇,2015/12/31,4,647,61,47,98,89,-7.8,+,0.03,7.11,3.99,0.69,3,-2,15,96
1718 中纖,2015/12/31,7,636,140,42,53,73,379.31,,1.77,0.63,13.27,1.83,4,0,65,331
1701 中化,2015/12/31,6,449,59,29,87,-19,5.55,,0.68,3.82,4.59,1.33,-4,-11,50,56
1314 中石化,2015/12/31,5,606,140,-4,100,93,9.39,,0.72,-1.58,-2.33,2.33,2,2,17,262
2104 國際中橡,2015/12/31,4,708,118,47,90,60,39.64,,2.04,3.59,16.25,4.04,10,10,46,169
1560 中砂,2015/12/31,4,679,37,88,100,43,10.43,,0.05,11.46,18.27,1.55,1,-2,5,40
2612 中航,2015/12/31,5,520,49,41,82,46,11.96,,3.98,2.05,17.57,1.48,-1,0,81,34
2613 中櫃,2015/12/31,7,367,33,7,79,29,0.7,,1.02,1.26,3.24,1.92,3,2,62,26
2002 中鋼,2015/12/31,3,513,140,10,51,50,483.94,,1.44,1.18,4.45,1.43,9,11,93,2851
2013 中鋼構,2015/12/31,6,328,96,9,38,-4,-11.4,+,0.44,1.61,1.2,1.17,13,3,138,157
2515 中工,2015/12/31,6,527,121,19,89,-40,2.72,+,0.72,1.64,7.22,1.91,-33,5,31,157
2204 中華,2015/12/31,4,770,140,37,100,79,26.08,,0.05,5.47,5.97,2.07,-2,-5,2,369
2475 華映,2015/12/31,8,-1282,140,-60,-281,81,-19.48,,8.48,-7.77,-22.68,4.91,11,7,534,373
1905 華紙,2015/12/31,5,561,126,19,81,10,15.6,,0.33,3.05,3.73,1.29,4,5,29,210
2610 華航,2015/12/31,6,516,140,46,12,48,319.48,,1.46,4.43,5.71,1.79,1,0,182,1451
2412 中華電,2015/12/31,1,913,140,83,99,88,763.24,,0.01,9.74,21.81,1.48,2,1,1,2318
2450 神腦,2015/12/31,4,753,119,43,98,93,17.38,,0.03,7.81,1.71,2.79,2,0,0,356
9933 中鼎,2015/12/31,2,618,140,41,77,-18,-68.18,+,0.13,4.52,4.48,1.56,-12,0,37,671
5388 中磊,2015/12/31,4,760,140,57,84,59,15.67,,0.21,6.67,4.98,2.13,1,-4,41,350
1513 中興電,2015/12/31,5,488,83,34,87,-40,0.34,+,0.31,3.72,6.21,1.21,8,34,39,104
1723 中碳,2015/12/31,3,790,54,98,100,89,13.11,,0.06,14.01,21.4,0.75,5,13,12,57
2323 中環,2015/12/31,7,439,111,-13,93,48,15.13,,1.61,-4.57,-7.21,3.03,6,9,25,126
2390 云辰,2015/12/31,7,207,11,-23,88,-40,-1.67,,1.78,-9.7,-32.81,2.39,10,55,20,9
3494 誠研,2015/12/31,7,255,21,1,82,-40,1.34,,0.98,0.29,1.82,1.97,9,104,37,17
1733 五鼎,2015/12/31,5,587,15,83,100,8,4.72,,0.56,10.46,17.58,2.72,4,-15,18,18
2324 仁寶,2015/12/31,3,677,140,21,89,67,93.76,+,0.11,2.69,1.36,1.54,3,-1,53,8473
6209 今國光,2015/12/31,5,417,41,-4,97,54,3.76,,0.56,-1.12,-3.26,1.94,-4,5,29,42
2034 允強,2015/12/31,4,621,92,32,92,65,21.08,,0.14,5.31,3.24,1.09,4,15,31,184
6443 元晶,2015/12/31,7,476,58,22,69,89,7.55,,1.03,3.36,3.57,2.62,1,4,71,71
4938 和碩,2015/12/31,3,791,140,54,89,82,89.2,+,0.06,6.19,6.47,1.07,-10,-4,31,12137
2705 六福,2015/12/31,7,281,44,-2,67,-40,5.09,,2.42,-0.55,-1.22,2.17,1,10,73,29
2444 兆勁,2015/12/31,8,387,11,-5,100,59,-0.54,,0.47,-1.68,-2.01,2.05,-7,3,40,16
6142 友勁,2015/12/31,7,320,44,-5,68,56,-0.33,,0.98,-2.16,-0.38,1.31,-11,-4,86,43
2332 友訊,2015/12/31,4,408,125,-15,92,48,6.52,,0.18,-6.85,-2.31,2.08,-1,-4,25,266
2409 友達,2015/12/31,6,670,140,24,79,82,620.03,,0.77,2.83,5.11,2.27,-1,1,53,3603
1233 天仁,2015/12/31,4,539,14,60,97,39,2.38,,0.04,8.87,8.8,1.46,-2,1,6,21
6225 天瀚,2015/12/31,D,-42,0,-60,55,-23,-0.67,,0.5,-45.18,-110.94,2.89,-22,162,84,1
4934 太極,2015/12/31,6,565,61,28,94,78,8.2,,0.68,4.67,3.61,4.59,11,-3,16,78
3036 文曄,2015/12/31,4,626,140,31,69,47,-31.11,+,0.18,4.13,2.23,1.27,3,4,101,1136
2451 創見,2015/12/31,2,846,127,77,100,61,33.02,,0.01,12.24,12.02,0.67,7,2,4,249
2547 日勝生,2015/12/31,9,-431,53,-13,-114,-40,-5.57,,33.06,-0.51,-26.21,3.02,170,1256,291,36
3090 日電貿,2015/12/31,6,550,57,48,89,26,7.12,,0.4,6.17,5.28,1.61,5,11,63,83
1227 佳格,2015/12/31,3,855,122,92,100,35,26.51,+,0.09,14.27,13.34,1.53,-5,-8,14,255
1732 毛寶,2015/12/31,6,360,3,-3,100,35,0.14,,0,-1.36,-1.64,0,-7,-9,0,6
2727 王品,2015/12/31,4,633,88,44,100,-40,18.89,,0.03,6.18,4.26,2.38,0,6,0,168
2383 台光電,2015/12/31,4,861,110,101,100,38,35.75,,0.17,14.23,14.85,2.15,-1,1,16,209
8039 台虹,2015/12/31,4,586,77,53,100,-27,9.68,,0.67,6.26,9.45,2.82,3,2,30,103
6269 台郡,2015/12/31,4,891,112,99,100,72,53.54,,0.38,14.36,14.94,2.39,-68,-14,8,181
8011 台通,2015/12/31,6,355,24,-3,93,23,-7.59,+,2.45,-0.85,-1.67,2.51,-7,21,43,16
2314 台揚,2015/12/31,8,331,49,-5,74,34,0.85,,0.65,-1.36,-1.26,2.4,17,2,68,63
1724 台硝,2015/12/31,6,530,15,55,95,52,2.99,,0.19,7.96,7.81,1.37,15,-1,10,18
6505 台塑化,2015/12/31,3,874,140,68,100,89,1191.67,,0.36,10.97,6.69,1.58,1,10,46,6295
3532 台勝科,2015/12/31,5,704,95,55,100,50,31.99,,0.05,5.85,14.08,3.12,1,13,0,105
1309 台達化,2015/12/31,7,463,88,2,67,82,18.1,,0.42,1.2,0.85,1.62,1,-6,111,170
2308 台達電,2015/12/31,1,838,140,70,99,51,310.48,,0.22,9.17,10.38,1.39,0,4,12,2035
1220 台榮,2015/12/31,6,462,24,21,100,52,3.08,,0.16,3.55,3.66,1.75,8,15,13,33
4746 台耀,2015/12/31,6,416,35,59,70,-40,2.55,,1.55,5.05,15.19,1.71,5,46,69,26
2636 台驊投控,2015/12/31,5,585,54,41,100,35,5.1,,0.1,6.54,3.21,1.92,0,0,20,97
1215 卜蜂,2015/12/31,4,630,88,52,73,79,6.71,,0.2,7.85,5.37,1.36,0,7,52,166
1614 三洋電,2015/12/31,4,548,47,27,100,73,3.09,,0.14,3.93,5.08,2.7,0,2,5,52
2841 台開,2015/12/31,9,6,7,-10,21,-40,-23.24,+,54.14,-1.16,-63.96,3.66,174,-8889,53,6
3045 台灣大,2015/12/31,1,816,140,95,58,79,258.04,,0.63,11.09,16.1,1.24,1,0,95,1161
1326 台化,2015/12/31,3,795,140,44,100,83,673.7,,0.75,6.26,5.79,1.67,0,6,40,3293
1101 台泥,2015/12/31,3,580,140,33,80,-40,217.33,,1.84,2.81,10.23,1.67,37,6,68,937
2338 光罩,2015/12/31,6,362,19,-5,100,21,3.07,,0,-1.96,-3.66,0,7,11,0,15
2642 宅配通,2015/12/31,5,454,17,24,100,37,1.74,,0,4.02,3.74,0,-2,0,0,26
2330 台積電,2015/12/31,1,1002,140,115,100,77,5301.08,,0.38,18.21,38,1.33,-1,7,21,8435
5608 四維航,2015/12/31,8,-99,61,-1,-62,50,13.3,,7.04,0.2,1.04,1.35,2,0,248,45
9921 巨大,2015/12/31,3,768,140,70,82,31,27.13,+,0.23,9.1,8.21,1.23,4,9,56,604
1539 巨庭,2015/12/31,6,447,21,79,39,50,1.78,,0.87,9.75,10.03,2.52,9,0,134,28
6192 巨路,2015/12/31,4,598,48,72,100,-14,7.12,,0.09,8.97,13.47,2.09,-2,24,4,53
1475 本盟,2015/12/31,9,89,1,-60,74,32,-0.8,,5.87,-24.96,-15.09,5.01,2,8,59,2
4906 正文,2015/12/31,5,557,100,5,92,68,13.34,,0.37,1.8,0.98,1.71,2,-3,43,175
1538 正峰新,2015/12/31,9,234,7,-13,55,82,-0.45,,2.84,-2.2,-9.38,3.44,9,-1,95,8
2392 正崴,2015/12/31,4,562,140,0,76,73,42.04,,0.28,0.06,0.55,1.77,-16,-3,63,1082
1904 正隆,2015/12/31,5,551,140,10,63,53,35.56,,1.16,1.56,4.08,2.32,-5,3,98,434
2105 正新,2015/12/31,3,825,140,75,81,75,274.39,,0.84,8.16,15.78,1.78,5,2,59,1167
1506 正道,2015/12/31,7,287,14,3,89,-17,0.89,,1.49,1.66,2,3.15,11,14,60,16
3149 正達,2015/12/31,8,-1246,64,-60,-269,70,-8.41,,5.42,-17.47,-46.41,3.49,12,-3,506,56
1507 永大,2015/12/31,4,703,129,62,100,-40,16.18,+,0,6,10.47,0,13,-10,0,231
3705 永信,2015/12/31,4,590,59,75,96,-40,5.57,,0.38,9.47,14.3,1.68,4,16,24,60
1726 永記,2015/12/31,3,680,66,77,100,17,15.58,,0,10.61,15.39,5.45,2,1,0,81
1323 永裕,2015/12/31,5,624,26,71,100,60,7.63,,0.68,8.27,12.55,2.43,5,0,41,31
1907 永豐餘,2015/12/31,5,498,140,7,54,36,44.99,,1.42,1.65,2.7,1.81,6,1,111,636
3406 玉晶光,2015/12/31,7,256,78,-20,61,55,1.62,,1.7,-6,-10.37,3,23,1,82,90
3026 禾伸堂,2015/12/31,4,625,85,32,100,58,14.79,,0.12,4.9,4.58,1.02,7,0,15,136
2472 立隆電,2015/12/31,5,569,55,55,90,24,11.41,,0.66,6.31,10.49,1.67,5,3,49,58
3054 立萬利,2015/12/31,6,337,7,-16,91,70,0.63,,1.18,-5.61,-9.9,2.2,26,9,44,8
3058 立德,2015/12/31,6,405,42,2,89,49,2.46,,0.2,0.83,1.57,1.23,-17,2,28,52
2439 美律,2015/12/31,4,674,81,52,99,60,14.09,,0.19,6,8.89,1.52,1,3,27,122
2419 仲琦,2015/12/31,6,567,59,36,96,53,14.16,,0.41,4.48,5.06,2.42,-27,-28,33,81
2485 兆赫,2015/12/31,3,666,76,53,100,56,2.55,,0.03,8.37,6.4,2.8,-19,-1,1,113
6285 啟碁,2015/12/31,3,780,140,54,91,65,15.68,+,0.05,7.83,4.54,1.25,1,5,17,522
2461 光群雷,2015/12/31,6,460,40,33,91,10,7.14,,0.83,3.53,7.33,1.7,7,3,67,41
2340 光磊,2015/12/31,5,572,63,43,100,18,10.24,,0.83,4.26,10.43,2.07,2,9,28,56
2301 光寶科,2015/12/31,3,696,140,32,88,55,152.15,,0.27,3.67,3.88,1.47,6,5,49,2169
2509 全坤建,2015/12/31,6,652,48,93,67,79,6.94,,2.08,9.81,19.82,2.5,-26,-8889,68,39
6281 全國電,2015/12/31,4,633,75,54,81,79,9.46,,0,8.15,2.97,0,0,-3,0,165
3015 全漢,2015/12/31,4,511,91,0,100,39,-0.21,,0.04,-0.1,-0.93,3.56,14,9,2,139
1618 合機,2015/12/31,6,386,24,19,100,-18,-2.75,+,0,2.5,6.12,0,44,-25,0,23
6271 同欣電,2015/12/31,3,725,76,68,100,69,18.94,,0.66,7.12,15.8,1.39,5,2,35,78
1442 名軒,2015/12/31,7,210,31,73,-11,-40,5.54,,9.3,5.19,29.49,2.65,-3,-1266,150,21
9943 好樂迪,2015/12/31,5,768,29,118,100,48,6.55,,0.08,20.91,20.06,1.7,0,0,5,31
4414 如興,2015/12/31,8,12,19,-50,52,6,-2.68,,2.11,-15.53,-10.85,4.05,-10,-28,125,25
8271 宇瞻,2015/12/31,5,605,44,44,100,84,9.31,,0.03,7.03,4.76,1.15,12,4,3,74
3528 安馳,2015/12/31,6,529,20,64,92,22,8.16,,0.34,8.81,7.84,2.13,4,26,25,33
8021 尖點,2015/12/31,5,546,40,61,100,-18,7.98,,0.95,5.78,15.94,3.17,18,5,19,35
6196 帆宣,2015/12/31,5,578,95,33,86,30,-2.04,+,0.21,4.27,3.19,2.4,-8,-5,31,180
1451 年興,2015/12/31,4,607,86,32,100,39,13.32,,0.15,4.94,4.67,1.33,3,0,14,128
9934 成霖,2015/12/31,5,537,105,11,86,37,3.23,,0.58,2.07,2.94,2.96,2,4,53,200
4119 旭富,2015/12/31,4,590,19,90,100,-18,6.63,,0.57,11.42,27,2.86,-12,3,7,18
1525 江申,2015/12/31,6,504,17,52,81,73,0.51,,0.08,10.92,3.01,1.23,-35,-3,4,12
6152 百一,2015/12/31,5,310,58,-15,77,46,-1.81,,0.26,-4.92,-5.48,1.35,-21,-16,78,82
3591 艾笛森,2015/12/31,6,431,32,-5,100,72,5.13,,0.4,-2.04,-2.08,1.59,-10,-26,15,34
1558 伸興,2015/12/31,4,756,48,98,100,67,12.41,,0.02,15.34,15.65,0.76,5,-1,5,60
5305 敦南,2015/12/31,5,520,87,15,85,46,11.09,,0.78,2.02,4.5,1.59,4,8,50,94
3052 夆典,2015/12/31,6,281,38,23,29,51,-14.63,+,1.8,2.3,5.83,1.33,-64,364,125,25
6277 宏正,2015/12/31,4,681,42,98,98,12,6.49,,0.23,13.16,18.31,1.56,1,9,19,49
1236 宏亞,2015/12/31,6,428,21,24,84,63,2.75,,0.17,3.14,4.62,0.67,-4,8,35,23
3605 宏致,2015/12/31,5,413,46,13,97,-8,4.64,,0.31,1.67,4.76,1.31,18,17,38,40
1612 宏泰,2015/12/31,4,405,32,-3,100,40,2.9,,0.02,-1.3,-2.87,1.95,6,7,1,32
1452 宏益,2015/12/31,5,613,16,70,100,73,4.79,,0,11.12,11.33,0,,,0,20
2534 宏盛,2015/12/31,6,63,22,52,-32,-40,-10.08,+,17.84,2.45,40.45,1.99,-1,1390,159,15
2536 宏普,2015/12/31,5,506,66,80,58,-40,42.56,,2.38,7.53,34.22,2.39,-12,-439,26,51
2498 宏達電,2015/12/31,4,349,140,-25,92,60,-132.34,,0.01,-8.65,-10.08,0,22,16,0,1217
6168 宏齊,2015/12/31,6,426,35,-1,100,57,4.76,,0.3,-0.38,-1.41,1.6,11,6,33,43
2527 宏璟,2015/12/31,7,376,44,55,36,14,-1.12,+,4.98,4.91,13.21,2.12,2,553,93,30
2484 希華,2015/12/31,6,522,26,48,100,25,5.16,,0.42,6.56,7.52,2.05,12,-6,20,28
2358 廷鑫,2015/12/31,7,249,8,-49,90,84,0.17,,0.25,-20.59,-10.62,2.65,4,-3,26,16
2376 技嘉,2015/12/31,4,753,140,35,100,69,34.42,,0,5.54,3.66,1.84,2,5,0,508
2025 千興,2014/12/31,8,352,30,-8,73,97,2.96,,0.43,-3.81,-1.38,2.3,1,-11,42,51
1453 大將,2014/12/31,8,159,3,-13,78,-40,-3.65,,0.3,-4.5,-24.49,1.05,-2,242,20,2
3701 大眾控,2014/12/31,9,362,90,-6,47,60,4.65,,0.74,-1.48,-1.51,2.05,-14,5,121,143
1611 中電,2014/12/31,6,306,43,9,71,-20,4.8,,2,0.11,4.74,1.99,-54,25,46,29
9917 中保,2014/12/31,3,842,97,93,94,87,44.69,,0.2,10.93,18.96,1.01,2,1,22,131
2474 可成,2014/12/31,3,901,140,105,100,7,269.63,,0.3,14.7,36.82,1.12,-11,13,16,553
2103 台橡,2014/12/31,4,692,140,36,80,64,20.36,,0.63,4.25,6.16,1.74,-5,4,61,319
1301 台塑,2014/12/31,3,731,140,21,100,88,134.38,,0.79,3.96,2.55,1.63,0,2,36,2166
6464 台數科,2014/12/31,-,768,46,93,100,98,13.15,,1.65,10.96,37.99,3.07,3,-5,37,31
2611 志信,2014/12/31,8,326,20,2,81,22,2.29,,2.35,1.6,0.05,2.4,-5,-1,54,14
1201 味全,2014/12/31,7,499,139,9,40,74,4.67,,1.47,0.94,4.38,2.2,2,-85,115,250
2020 美亞,2014/12/31,7,479,49,35,76,48,2.88,,0.6,4.41,6.09,2.18,-6,7,36,57
2504 國產,2014/12/31,4,609,140,7,82,62,18.55,,1.04,1.85,2.32,1.62,2,-4,77,351
9919 康那香,2014/12/31,6,364,45,0,78,40,4.69,,1.25,0.56,-0.47,2.08,5,3,79,44
3027 盛達,2014/12/31,6,378,11,2,100,49,0.81,,0.65,1.74,-1.43,1.85,3,-19,30,12
1216 統一,2014/12/31,3,683,140,42,63,88,348.58,,0.63,5,4.92,1.94,0,1,93,4183
3041 揚智,2014/12/31,4,554,46,30,100,71,2.84,,0,4.22,6.06,0,-13,-8,0,46
1707 葡萄王,2014/12/31,4,776,47,120,99,27,17.01,,0,27.72,25.9,0.35,-2,3,0,63
2062 橋椿,2014/12/31,4,649,57,64,98,47,6.46,,0.4,8.02,11.19,1.16,4,7,46,62
4141 龍燈-KY,2014/12/31,7,403,88,48,42,-40,5.35,+,2.63,4.34,11.38,4.37,-10,3,140,107
1310 台苯,2014/12/31,7,511,88,-7,86,98,-1.77,,0.24,-3.07,-2.34,1.88,-4,-7,45,170
1902 台紙,2014/12/31,5,520,64,19,97,45,3.09,,0.5,3.78,0.33,1.68,0,-6,28,68
4956 光鋐,2014/12/31,7,402,16,37,100,-40,1.36,,0.81,4.11,8.03,1.61,-16,18,41,16
2337 旺宏,2014/12/31,6,326,135,-37,67,-33,2.92,,1.36,-12.45,-23.48,1.77,-2,31,72,224
2028 威致,2014/12/31,8,14,62,-39,-28,90,-0.27,,0.98,-7.74,-5.15,2.89,-1,2,223,100
2448 晶電,2014/12/31,4,589,140,29,88,-40,40.62,,3.22,2.71,10.23,6.41,15,4,32,277
1529 樂士,2014/12/31,9,107,2,-33,81,-40,-0.16,,3.36,-14.26,-60.36,3.26,21,-50,18,1
2633 台灣高鐵,2014/12/31,D,-470,140,66,-306,24,222,,24.97,2.45,30.88,2.14,-1,-5,997,385
1413 宏洲,2014/12/31,8,66,24,-34,16,74,0.14,,0.66,-7.23,-7.09,2.08,-2,3,163,35
6165 捷泰,2014/12/31,8,256,2,-22,100,17,0.76,,0.13,-9.3,-53.64,0.61,43,44,8,3
2915 潤泰全,2014/12/31,6,551,73,35,88,35,-3.24,,4.16,9.48,-14.4,1.91,14,8,34,59
3593 力銘,2014/12/31,8,96,1,-29,74,-40,-0.68,,1.67,-12.74,-264.82,1,250,28,40,1
2491 吉祥全,2014/12/31,D,-259,8,-31,-47,-40,0.82,,4.06,-4.6,-23.49,1.64,15,84,237,6
1449 佳和,2014/12/31,D,95,34,-38,35,37,-0.39,,1.64,-7.06,-10.9,3.03,2,4,135,35
1457 宜進,2014/12/31,7,421,51,6,75,76,2.53,,1.77,1.79,2.89,2.21,9,-8,77,44
2388 威盛,2014/12/31,8,-12,61,-60,-13,87,9.14,,1.28,-18.27,-10.9,2.18,0,-19,227,65
1218 泰山,2014/12/31,6,407,63,2,65,79,-1,,0.78,1.67,-0.7,2.06,-8,-14,89,90
2438 翔耀,2014/12/31,8,506,4,75,89,6,0.47,,0.88,7.28,22.03,1.97,17,-163,28,4
8464 億豐,2014/12/31,4,657,88,120,28,36,21.19,,0.94,16.52,18.24,2.58,1,9,179,139
1472 三洋紡,2014/12/31,9,102,6,-17,21,79,-0.24,,1.51,-5.05,-0.66,2.93,-10,-28,157,10
2353 宏碁,2014/12/31,4,611,140,-2,89,70,56.24,,0.2,-0.65,1.22,3.56,0,1,28,3297
3049 和鑫,2014/12/31,7,486,61,60,34,85,17.07,,5.75,4.27,14.8,2.77,-11,-37,104,45
2008 高興昌,2014/12/31,8,293,22,-18,81,60,-1.73,,0.79,-7.09,-9.14,1.99,-4,15,26,15
2540 愛山林,2014/12/31,9,404,16,25,100,-2,-14.58,+,1.86,2.62,8.32,2.51,39,-37,25,12
1903 士紙,2014/12/31,7,292,22,-14,70,78,-2.24,,1.18,-3.62,-14.04,1.11,-4,15,48,16
1432 大魯閣,2014/12/31,8,73,1,-15,52,-40,-1.43,,8.5,-5.24,-117.55,3.18,107,2012,19,1
1516 川飛,2014/12/31,9,522,1,60,80,100,0.17,,0.71,13.01,2.59,2.32,2,0,34,2
1456 怡華,2014/12/31,9,-378,12,-12,-108,-40,-9.02,+,10.42,-1.47,-1.7,3.77,-5,298,286,9
2348 海悅,2014/12/31,7,726,14,120,88,75,-0.57,,1.18,18.07,21.28,2.27,-26,-40,95,19
6176 瑞儀,2014/12/31,3,824,140,59,100,66,62.7,,0.49,7.02,8,1.89,7,3,55,514
2616 山隆,2014/12/31,5,578,83,25,90,47,1.91,,0.04,4.13,0.9,1.39,-1,-1,30,203
2506 太設,2014/12/31,8,439,55,41,49,59,5.2,,5.23,3.66,11.08,3.85,-4,-138,69,39
9906 欣巴巴,2014/12/31,8,-450,0,-12,-125,-40,-7.86,+,261.96,-0.3,-228.69,2.85,11,61023,306,0
3321 同泰,2014/12/31,6,647,24,99,97,11,6.36,,0.48,13.89,12.04,2.36,25,3,38,32
1786 科妍,2014/12/31,6,234,2,-10,100,-40,0.02,,0.01,-2.45,-21.63,0,6,62,0,2
3673 TPK-KY,2014/12/31,5,470,140,2,32,89,155.19,,1.1,1.42,-0.66,2.05,-20,-6,159,1295
3004 豐達科,2014/12/31,6,251,12,24,46,19,2.7,,1.33,-1.82,14.27,1.97,-16,-20,123,14
2511 太子,2014/12/31,6,640,129,58,57,36,-12.03,+,2.76,5.24,12.58,2.34,23,51,89,194
9911 櫻花,2014/12/31,4,641,44,63,100,65,5.02,,0.06,8.36,10.41,1.72,4,-2,3,49
3682 亞太電,2014/12/31,3,702,124,21,100,92,48.91,,0,4.94,0.3,0,-1,6,0,163
1414 東和,2014/12/31,6,303,18,2,78,27,0.48,,0.42,1.03,1.22,1.21,8,-11,23,13
2408 南亞科,2014/12/31,6,787,140,120,28,62,270.11,,2.41,30.51,38.23,1.82,-2,-23,136,491
8150 南茂,2014/12/31,4,873,131,82,100,66,60.29,,0.67,9.56,17.19,2.09,-2,-2,38,220
2528 皇普,2014/12/31,9,490,4,45,100,47,1.29,,1.34,3.8,14.83,2.47,103,820,14,3
1583 程泰,2014/12/31,5,535,70,74,71,-40,9.24,,0.62,8.24,11.85,1.31,-9,-56,80,78
2344 華邦電,2014/12/31,5,755,140,53,88,53,91.35,,0.72,5.86,10.57,2.08,0,-16,41,380
1532 勤美,2014/12/31,7,540,125,43,67,-40,22.13,,1.73,3.77,11.12,2.12,8,-9,65,169
4919 新唐,2014/12/31,5,602,47,47,100,68,7.39,,0,7.21,4.54,0,-5,-8,0,68
4532 瑞智,2014/12/31,4,682,111,55,89,30,0.88,+,0.56,6.25,8.82,1.74,15,6,56,181
2331 精英,2014/12/31,4,702,140,25,90,78,-33.84,+,0.03,3.58,3.08,1.11,2,4,23,559
1805 寶徠,2014/12/31,8,418,7,2,100,99,3.12,,0.45,0.83,1.98,2.98,4,-84,19,10
3018 同開,2014/12/31,7,460,8,27,100,64,0.22,,0.27,3.89,2.9,2.07,-91,0,40,15
3037 欣興,2014/12/31,3,600,140,2,84,60,66.23,,0.83,1.06,1.98,1.54,-3,-1,71,618
2316 楠梓電,2014/12/31,5,564,68,29,97,51,7.67,,0.57,3.42,5.8,1.7,-23,2,38,73
2606 裕民,2014/12/31,4,563,96,33,69,47,32.77,,4.24,1.63,14.54,1.34,-5,0,112,90
1477 聚陽,2014/12/31,3,813,100,93,90,65,12.93,+,0.18,15.81,10.15,2.54,0,-4,5,209
2429 銘旺科,2014/12/31,9,198,5,-31,82,36,-0.59,,0.32,-11.04,-9.74,1.95,-50,-4,40,8
5469 瀚宇博,2014/12/31,4,499,140,9,49,46,9.08,,1.23,2.08,1.29,2.12,9,1,139,487
2486 一詮,2014/12/31,6,509,63,30,92,18,10.63,,0.81,2.8,7.58,2.18,-11,-5,57,71
3130 一零四,2014/12/31,4,713,11,103,100,83,5.12,,0,13.52,23.86,0,28,0,0,13
1515 力山,2014/12/31,6,370,37,16,71,35,1.24,,1.25,2.5,3.59,2.6,2,-2,77,36
6239 力成,2014/12/31,3,844,140,63,100,74,99.92,,0.67,6.51,13.39,1.31,-7,0,53,400
1447 力鵬,2014/12/31,5,562,111,8,82,70,16.66,,0.33,2.38,1.19,1.18,12,5,40,224
1307 三芳,2014/12/31,4,709,82,61,100,62,17.9,,0.39,7.71,9.91,1.43,-2,-6,40,112
1721 三晃,2014/12/31,8,340,9,0,89,55,1.11,,0.54,1.08,-1.98,2.11,-3,-4,40,16
2905 三商,2014/12/31,5,738,140,20,100,99,770.8,,0.09,0.36,-1.05,1.13,-1,-1,60,1705
9946 三發地產,2014/12/31,7,-202,8,11,-70,-40,-22.25,+,23.51,1.49,5.06,2.38,3,6837,218,6
2206 三陽工業,2014/12/31,6,495,140,-5,57,59,-3.71,,1.1,-1.13,-2.15,2.74,1,-13,90,365
6128 上福,2014/12/31,5,505,20,86,60,28,2.51,,0.89,9.27,19.14,1.31,3,6,84,19
2049 上銀,2014/12/31,4,658,114,89,68,-40,32.33,,1.26,8.52,20.87,1.52,-11,-22,88,151
1316 上曜,2014/12/31,8,206,10,-20,96,-40,-5.63,,2.65,-6.61,-25.6,2.84,28,350,53,8
1503 士電,2014/12/31,4,642,127,35,91,11,9.66,,0.21,4.1,6.6,1.27,11,5,15,198
2739 寒舍,2014/12/31,5,532,30,62,79,41,6.87,,0.14,7.7,7.25,2.15,-1,-1,10,45
3008 大立光,2014/12/31,2,978,140,120,100,38,196.88,+,0.01,38.86,47.59,4.55,-9,-12,0,458
2371 大同,2014/12/31,7,386,140,-4,22,52,58.04,,3.27,-0.14,-1.13,3.94,4,1,160,1126
2027 大成鋼,2014/12/31,7,487,140,54,28,-40,-6.48,+,1.05,6.61,6.38,2.3,-2,-14,154,508
1210 大成,2014/12/31,4,605,140,3,76,88,24.71,,0.25,1.54,0.77,2.03,0,-1,57,917
1321 大洋,2014/12/31,6,422,57,-2,78,82,0.18,,0.51,-1.03,-0.53,1.49,-2,6,44,54
1232 大統益,2014/12/31,4,813,81,87,100,91,0.92,+,0.02,19,5.05,2.24,-1,-3,10,218
