company,date,c_0,c_1,c_2,c_3,c_4
1227 佳格,2016,0.0,0.0,0.0,0.0,0.0
1227 佳格,2017,0.0,0.0,0.0,0.0,0.0
1232 大統益,2008,0.0,0.0,0.0,0.0,0.0
1232 大統益,2009,0.0,0.0,0.0,0.0,0.0
1232 大統益,2010,0.0,0.0,0.0,0.0,0.0
1232 大統益,2011,0.0,0.0,0.0,0.0,0.0
1232 大統益,2012,0.0,0.0,0.0,0.0,0.0
1232 大統益,2013,0.0,0.0,0.0,0.0,0.0
1232 大統益,2014,0.0,0.0,0.0,0.0,0.0
1232 大統益,2015,0.0,0.0,0.0,0.0,0.0
1232 大統益,2016,2.0,1.1316500577854215e-24,1.3336117861341855e-14,1.419496626022998e-24,7.479564846569665e-20
1232 大統益,2017,0.0,0.0,0.0,0.0,0.0
1233 天仁,2008,0.0,0.0,0.0,0.0,0.0
1233 天仁,2009,0.0,0.0,0.0,0.0,0.0
1233 天仁,2010,0.0,0.0,0.0,0.0,0.0
1233 天仁,2011,0.0,0.0,0.0,0.0,0.0
1233 天仁,2012,0.0,0.0,0.0,0.0,0.0
1233 天仁,2013,2.0,4.079250786100361e-17,1.1775681540981966e-09,3.9342145091384776e-18,6.8940341919876926e-15
1233 天仁,2014,0.0,0.0,0.0,0.0,0.0
1233 天仁,2015,0.0,0.0,0.0,0.0,0.0
1233 天仁,2016,0.0,0.0,0.0,0.0,0.0
1233 天仁,2017,0.0,0.0,0.0,0.0,0.0
1236 宏亞,2008,8.000003814697267,2.441518783569336,0.5584775805473328,1.5351758753112676e-10,1.857580755881827e-08
1236 宏亞,2009,0.0,0.0,0.0,0.0,0.0
1236 宏亞,2010,0.0,0.0,0.0,0.0,0.0
1236 宏亞,2011,0.0,0.0,0.0,0.0,0.0
1236 宏亞,2012,0.0,0.0,0.0,0.0,0.0
1236 宏亞,2013,0.0,0.0,0.0,0.0,0.0
1236 宏亞,2014,0.0,0.0,0.0,0.0,0.0
1236 宏亞,2015,0.0,0.0,0.0,0.0,0.0
1236 宏亞,2016,0.0,0.0,0.0,0.0,0.0
1236 宏亞,2017,0.0,0.0,0.0,0.0,0.0
1301 台塑,2008,0.0,0.0,0.0,0.0,0.0
1301 台塑,2009,0.0,0.0,0.0,0.0,0.0
1301 台塑,2010,0.0,0.0,0.0,0.0,0.0
1301 台塑,2011,0.0,0.0,0.0,0.0,0.0
1301 台塑,2012,0.0,0.0,0.0,0.0,0.0
1301 台塑,2013,0.0,0.0,0.0,0.0,0.0
1301 台塑,2014,0.0,0.0,0.0,0.0,0.0
1301 台塑,2015,0.0,0.0,0.0,0.0,0.0
1301 台塑,2016,85.22007751464844,10.068868637084961,20.60264587402344,1.999916434288025,6.108497142791747
1301 台塑,2017,82.57848358154297,7.08612585067749,19.200946807861328,0.033975977450609214,6.100468635559082
1307 三芳,2008,0.0,0.0,0.0,0.0,0.0
1307 三芳,2009,0.0,0.0,0.0,0.0,0.0
1307 三芳,2010,0.0,0.0,0.0,0.0,0.0
1307 三芳,2011,0.0,0.0,0.0,0.0,0.0
1307 三芳,2012,0.0,0.0,0.0,0.0,0.0
1307 三芳,2013,0.0,0.0,0.0,0.0,0.0
1307 三芳,2014,0.0,0.0,0.0,0.0,0.0
1307 三芳,2015,0.0,0.0,0.0,0.0,0.0
1307 三芳,2016,7.0,7.945769282313707e-23,5.088180383111378e-16,4.457561589907072e-25,3.0223704854556975e-22
1307 三芳,2017,1.0,9.433126129429579e-24,2.702255065609708e-16,1.6361666847525485e-21,2.282829747786173e-24
1309 台達化,2008,0.0,0.0,0.0,0.0,0.0
1309 台達化,2009,0.0,0.0,0.0,0.0,0.0
1309 台達化,2010,0.0,0.0,0.0,0.0,0.0
1309 台達化,2011,11.99790859222412,0.003088516881689429,0.9990028738975524,4.018989141485463e-09,7.544970204165224e-10
1309 台達化,2012,7.0,2.719292024266906e-05,0.9999659061431884,6.943885182408849e-06,8.553994318427628e-12
1309 台達化,2013,0.0,0.0,0.0,0.0,0.0
1309 台達化,2014,0.0,0.0,0.0,0.0,0.0
1309 台達化,2015,0.0,0.0,0.0,0.0,0.0
1309 台達化,2016,0.0,0.0,0.0,0.0,0.0
1309 台達化,2017,0.0,0.0,0.0,0.0,0.0
1310 台苯,2008,0.0,0.0,0.0,0.0,0.0
1310 台苯,2009,0.0,0.0,0.0,0.0,0.0
1310 台苯,2010,0.0,0.0,0.0,0.0,0.0
1310 台苯,2011,0.0,0.0,0.0,0.0,0.0
1310 台苯,2012,0.0,0.0,0.0,0.0,0.0
1310 台苯,2013,0.0,0.0,0.0,0.0,0.0
